用户,评论
j***t,以旧换新就是骗人的……把补贴的价格都给扣下去了……
l***K,还可以吧，刚开始激活手机就死机了，希望用着不要死机
h***8,买了两周后直接活动减500，看呆了
z***3,以旧换新：新机是信仰，京东的手机以旧换新是个大坑
j***0,手感挺好的，就是耗电感觉很快
j***w,好伤心，买了就降价了，正好过了一天包价期，买了2台，血亏500，心痛
3***3,国补买的手机到货了，就是包装比平时简陋多了，也没有买了次日送达，还没有激活验证是正品。希望好用
j***h,优点：手感很好，缺点：刷新低，屏幕延迟，不流畅
小***咪,盒子像是旧的，包装也比较简陋，希望手机经用，老公非要买给我的，希望能用10年
j***3,商品质量不错，卖家服务态度很好，发货速度快，整体购物体验非常满意！
s***x,相机按键没啥用，相比15最大的升级就是处理器……
洛***z,商品还可以，用起来还不错，但没满月就降了500块😅😂🥵
u***6,双十一买比平时还贵😂
u***9,刚买2天就优惠了100，看来苹果也不保值了，最后一款苹果手机了😩，一晚上手机掉电10%
k***2,除了电池续航不行！其他没有什么问题~小问题都可以通过后续的软件更新得到解决！
y***d,双卡放不进去，绝对已经压平，不知道其他人有没有这个问题
u***9,也是今年初才买的15、16比15手感轻很多、感觉还是15有质感！
k***3,买完第八天就开始跌价；手机故障也特别多；感觉没啥好的
j***p,屏幕好黄，生产日期是去年十月的……感觉还不如多多去买呢☹️
j***e,拿在手上像砖头，屏幕也小，没有同等价位的荣耀好用，
u***b,不到二十天降价500……
小***M,挺好看的 挺好的 但是玩着玩着会突然死机 等了20分钟终于可以开机
2***0,商品质量不错，细节、品质、做工都非常好，发货贼快，快递也给力，棒棒哒~🌸🌸🌸
迷***2,建议还是买pro，高刷还是感知挺明显的，其他的没啥区别，续航挺好。
低***k,为啥是iPhone17，明年我不用买了吗？
小***z,各种补贴，优惠了2000多，还是挺合 算的，要是明年继续搞国家补贴，再换个17。
海***e,都没运行什么大型游戏 就看看视频 拍下照 开始疯狂发热
j***m,质量没得说，跟专卖店一样，特别特别喜欢，而且价格优惠手机丑丑的
爱***吗,颜色挺好看，非常符合我的心意，但是外包装真的很脏，希望商家注意
j***x,申请国补购机，需要收获现场拆封激活，比较麻烦，自己用还行，送人拆封就不合适了
蒲***p,使用几天下来，其他还好，掉电是真快，屏幕是国产京东方的，怪不得便宜这么多，现在国补又便宜五张
曉***y,收到的包装盒子特别脏，挺心烦的，但是已经激活使用，介意的还是考虑好再拍
小***0,外形外观：手机镜头做工存在微微瑕疵，还在适应中 希望不会影响使用
9***g,壳很结实，就是有点硬，用着应该挺耐用的，用几天再换吧。
u***j,好好的买个手机，搞得全是套路，辜负了多年来对平台的信任，还能说什么呢，哎，不知道和我一样遭遇的顾客有多少
3***箱,配送速度和价格都非常好。快递小哥服务也很不错。就是对流程有点不理解。需要快递小哥先帮我设置好了再给我。购物体验不好。
j***4,运行速度：一般 以旧换新：还行跟预估价没有差异 外形外观：完好
j***檬,之前买过几次手机，觉得都挺好的，这次是国补买的，Siri一点都不行。基本是用不了
u***8,使用了一段时间，明显感觉比旧品续航提升了不少，各项配置都有所提高
木***桦,手机电池续航很一般，60Hz贼难受，手感还不错，建议预算足够上pro
看***了,我看视频的时候常会卡会回去0.1秒，接视频电话的时候关机过一次，之前12没什么问题
Y***6,感觉16右上角点起来有点反应迟钝……特别是在美团上点那个商品收藏最少要点五六下才能成功，不知道是不是错觉，以前用的X没有这样的，希望别再出现什么小毛病了……
雪***r,国补➕京东的券，算下来价格很合适，性价比还是很高的，收到货激活了才能拿到手，就是回家发现屏幕好像有个小点，暂时不知道是屏幕脏了
嫘***了,外观好看 手感很好 就是容易发烫 电池不耐用
g***7,比之前的款重量轻很多，手机背面感觉是磨砂的，不过裸机的手感不错，国补的，快递员送到，要当场验货
u***y,颜色好看，直屏方便，轻巧不重，系统流畅，属实想不出，还有啥优点，就这吧，散会！！！
小***代,拿到之后，手机盒子很脏。盒子磕磕碰碰的。像用过的盒子。介意勿拍、手机看着外观正常。
0***p,电量掉的快。其他还好，系统挺流畅。充电孔跟13不一样。耳机用不了，提前买好转换头或者新耳机。
e***p,屏幕泛绿，其他更新和 13P 比没高刷但感受不出来，相机好像是弱一些，但很轻手感不错
简***用,宝贝收到了，给媳妇换的手机，刚买完1天就出国补了，没办法申请，亏了500。手机还可以，主要是拍照效果比较真实。
尼***弗,电量是真不行啊 不耐用 跟用了三年的旧手机差不多 电量 拍照效果：真好
h***g,京东自营的快递速度还是特别快的，隔天就送到了，性价比也是很高，销量看着是很高，应该还是会比较不错的，后面使用之后再来追评看下效果和体验，快递包装存在破损
j***a,"十一买的，这就降了500块,之前没用过苹果手机，看这价值，性价比不高。手机外观大小放口袋方便挺喜欢吧！照相效果挺好。"
j***a,比之前用的苹果13性能方面提升了很多，挺好用的，但是续航怎么和电池容量只剩81%的苹果13差不多，续航方面不是应该更强一些了嘛
C***或,买了好几天了 没事的时候也用过了 现在才来评论 就是看看体验怎么样的 简单使用还是不成问题的 就是想要好的就需要点时间慢慢学习了
陈***7,之前帮妹妹买过苹果手机，这次怕踩雷拍了开箱视频，盒子干净，背胶完好，手机外观没问题，有过一次音爆问题，视频和通话都有杂音，拿去苹果售后检测硬件。送货速度是没有话说，基本上都是次日达。
暖***丶,这款16外观什么的都挺好，唯独一个缺点，耗电非常非常的快，快的有点离谱了都，我上一部13的电池健康是81%，这个新的手机耗电跟之前那部13有的一拼😓😓😓😓😓续航真的很一般！！！
9***h,外观漂亮 拍照还行 操作流畅 长焦可以忽略 续航拖后腿 轻度使用 9个小时 就剩4%了
1***1,价格比较优惠，可以五千二百七十元拿下，希望多做些这样的活动。就是没预想的好，屏幕发黄，看着不舒服，手机也更厚了，电池却没同体积的安卓手机耐用。
x***d,苹果手机操作没安卓方便，没有自带电话短信骚扰拦截，都16了，电池还没上4000，一天要两充， 还有很多没安卓方便的地方，没办法人家品牌价值高！
z***9,从iphone13升级来的，首发没着急，到当地展厅看了一下，手感很不错，对比来说16是8G运存，13是4G运行内存的，用起来天差地别，16太快了！ 注意16边角有划痕，新机！
消***哈,颜色挺好看的，价格也优雅，就是使用久了手机烫的不行，耗电贼快，上一部手机用了三年才会出现发烫，这手机刚用就这样
晴***2,手机外观很好看 青色很喜欢 就是ios18系统不如之前 照片系统很不习惯 要得点时间来磨合了 。拍照有点歪片 果粉 也懒得接触新系统
大***物,有货就下单了，京东速度挺快，但收到货，包装破损，内部防振包装不到位，手机盒也轻微磕碰，还好手机没啥事，贵重物品，配送人员没电话，放门口就走，实属不该有这样的错误。也影响手机使用感受，手机本身很好，白颜色比以前的白很多，显示正常，就这样吧，不写了
如***再,买给媳妇的，她很喜欢。 外观简洁，小巧轻便，国产机大多都是大圆饼后摄，又大又重，挺lou的。 苹果性价比不是很高。一个电话顶天也就能用个两三年吧，两三年后即使不卡，电池也不耐用了，电子产品更新太快，也不好意思拿出手了。
暖***克,这款手机外观设计依旧经典大气，黑色后盖与苹果标志的搭配非常酷炫，适合各种场合使用。从包装盒上的信息来看，这款手机支持多种网络标准，可以满足不同地区的使用需求。整体来看，这款手机的性价比很高，无论是性能还是颜值都很不错，特别是对于日常办公和娱乐来说都非常合适。如果你正在寻找一款稳定可靠的手机，那么这款绝对是一个不错的选择。
阿***班,屏幕音效：丝滑流畅 拍照效果：清晰度高 外形外观：不错 运行速度：快，流畅 待机时间：我不怎么玩游戏，也就日常用基本上一天充一回电
我***姚,京东下单物流很快时效有保障没的说，隔天就到了。到了马上新机就上手了，手感不错，倒资料非常快个把小时的事儿。使用了两天，不一直玩游戏，基本上一个白天，晚上充电即可。使用感觉还不错，我基本上买东西都是5星好评。今天唯一的不足不开心，就是17号下单18号到手，20号国补上线，4天血亏了400块呀！所以还是给个3星吧……
J***5,用了三天 第一感觉是好 第二感觉是耗电快 夜间待机能耗6-8格电 图片是不玩游戏且轻度使用手机的耗电情况 苹果16电池容量是3561 根据这个情况也算一般吧 手机功能一切正常 当场激活的
梦***神,这款手机的使用体验整体来说较为一般。性能方面表现符合预期，日常使用中基本流畅，没有出现明显的卡顿或问题。外观简洁大方，设计中规中矩，没有太多的亮点可以让人眼前一亮。综合来看，适合对手机要求不高、追求稳定表现的用户。📱🔄💡。刚买就降价这款手机的使用体验整体来说较为一般。性能方面表现符合预期，日常使用中基本流畅，没有出现明显的卡顿或问题。外观简洁大方，设计中规中矩，没有太多的亮点可以让人眼前一亮。综合来看，适合对手机要求不高、追求稳定表现的用户。📱🔄💡。刚买就降价
发***头,我刚入手了苹果16手机，真的被它的表现惊艳到了！拍照效果特别棒，夜景模式下的照片清晰又美丽。新芯片让手机运行速度超快，多任务处理轻松搞定。电池续航能力也很强，一整天下来都不用担心电量问题。不过，价格确实不便宜，但考虑到它提供的所有高端功能和体验，我觉得还是很值得的。对于追求极致体验的人来说，这款手机绝对是个好选择。
傻***苏,外形外观：白色的挺漂亮 屏幕音效：挺好 运行速度：挺流畅的 待机时间：轻度使用一天够用 拍照效果：感觉和我的se 2没有明显区别呀 不送充电头还是得吐槽，自己花好几十又买了一个
J***B,全新的iPhone 16体验感极佳，开箱瞬间幸福感满满。设计精致，白色外观干净清爽，搭配手机壳更显完美。运行速度极快，流畅度丝滑，响应迅速。拍照效果出色，满足日常需求。待机时间适中，一天一充电可满足全天使用。京东物流配送迅速，整体体验非常满意！
半***面,这款手机整体表现不错，操作流畅，屏幕清晰，拍照效果也很好。电池续航能力令人满意，充电速度快。设计时尚，手感舒适，音质和信号接收都不错。适合追求高品质手机的用户。——A诶I唉 送过来盒子脏了
森***呀,我最近购买了Apple iPhone 16（A3288）256GB 白色版，这款手机给我留下了深刻的印象。首先，它的外观设计简洁大方，白色机身显得非常高级。其次，256GB的存储空间对于日常使用和存储大量照片、视频来说绰绰有余。再者，支持移动、联通、电信5G网络的双卡双待功能也非常实用，出差或旅行时无需担心换卡问题。 总体来说，iPhone 16是一款性能出色、功能全面的手机。它的优点在于强大的性能、出色的摄像头和便捷的网络连接。如果你在寻找一款高性能且实用的手机，iPhone 16绝对是一个值得推荐的选择。
D***Y,这款iPhone真的让我非常满意！外观设计简洁大气，手感极佳，屏幕显示效果清晰细腻，色彩鲜艳。性能方面非常流畅，无论是日常使用还是玩游戏都毫无压力。拍照效果更是惊艳，夜景模式特别出色。电池续航也很给力，一天下来完全够用。系统操作简单易上手，功能丰富实用。总之，这是一款非常值得入手的手机，强烈推荐！
寂***陌,外观很好看，手感喜欢，精致的设计拿在手中尽显品质。屏幕显示清晰细腻，色彩鲜艳逼真，无论是看视频还是玩游戏都带来极致的视觉享受。性能更是强大，运行速度也还可以，但是不知道为啥会时不时有点小卡，有点怀疑是不是真假参半的卖，买到二手的了
j***p,外面包装盒有土还有磨损
i***p,我买来还没用就降价厉害
j***3,国补的手机包装有点埋汰
星***魂,快递包装破了，手机包装也破损
6***r,没法价保，过年假期也不考虑
j***4,生产日期8月，说不准是翻新机
l***1,保价时间短，买完疯狂降价。
x***度,这产品包装收到我也是醉了
j***2,手机卖超了，库房迟迟发不出货
j***I,才买不到10天，降价三百，心情不好
2***8,买收到有点后悔买苹果15pro就好咯
3***8,动不动就自动关机，离谱
j***q,什么都没有，发票都没有
j***7,物流延迟了好久不配送还冷处理
l***f,屏幕右上侧没有疏油层
2***x,手机摄像头处有一点瑕疵
s***2,激活有点费劲其他都好
B***5,买完就降价好几百，还不能补差价
6***o,双12买的，马上又降价了，血亏300！！！！！！
j***1,没几天就降价了，离大谱。
j***z,正常用电池用不了一天
j***2,充电的时候拍照键会漏掉
j***y,一般吧，买个高刷版就好了
j***m,屏幕老是触断出现卡顿
x***3,好糊啊耗电也快我真服了
u***l,买来到现在自动关机6次了
j***b,才刚买一个月就出问题了
j***6,怎么讲呢？感觉都和4s一个样
这***烫,6k买的手机信号差的要死
j***m,不明白为什么会断触还卡，md
霓***9,感觉像是拆过一样，不是新的
u***y,买完过几天就有国家补贴了，真是服了
B***J,充电器都没有以前再也不买了
u***5,买完过两天就降价，还不给价格保护
j***r,开始进入莫名其妙关机环节了
7***h,整体感觉还不如安卓手机！
j***m,有时候会突然自动黑屏关机呢
借***丶,刚买俩星期就降五百 吐了 价保才几天
超***肉,为什么我的电池健康看不了，
u***5,根本就不是粉色，是乡村蔷薇紫
u***n,这次可能买上当了，一用就发烫
j***s,可能运气不太好，充电线充不了😨
淡***粉,一般般吧！虽然第一次用
p***v,没有实体店的体验感那么好。
小***喔,不到一个月就降两百，不想说了
L***8,外包装有点脏其他也没什么，国补很香
j***e,照相时候容易卡，其他都挺好的
村***熊,刚买一个月突然关机出现两次
倪***宇,买了不到几天就有了国补降了500，我也是服了
顾***啊,电池超级不耐用，其它没啥问题
终***腻,刚买15天降价800？这个人不好吗
u***x,双12买的，还没半个月就降价了
j***t,连一个充电头子都没有
慧***8,几年没用苹果了，还是建议买por
S***M,买了一个半月了，自动关机了两次😓
j***8,手机没问题，买完不到十天降五百
爱***登,京东降价就不给补偿 这个服务也不改一下
H***了,刚没都没一个月就降价，真膈应人
q***j,短短一个多月已经自动关机两三次
j***f,新机掉电速度快，整体一般
j***c,扫个码，给手机干黑屏了
k***z,盒子送过来脏死了，感觉像后封机
j***s,手机有时反应迟钝触摸功能也不好
d***d,偶尔触屏不灵，系统卡死
j***0,京东啊京东，为啥总比外面贵，外面拿6850，贵了150
t***3,苹果16的相机会虚。刷屏幕有卡顿。
璐***4,刚买的 屏幕上有小划痕
j***1,不怎么好用刚开始用就出现一堆问题
j***j,一般般，一般般，一般般，这么快就降价了
j***来,啥玩意，差不多一个月自动关机2回了
m***0,一般吧 没有补贴就亏大了
I***q,刚买完几天就降价 还不能申请补差
j***k,感觉电池没有我上个16电池用的久
Z***C,16真的不行，反应慢，还会黑屏
j***k,降价真的是一天比一天快，只能这么说
u***8,用了一个月 自动关机了两次
j***v,收到货的包装都是拆开的，手机盒没有开
j***d,刚到手，只是调一调设置，手机就发烫了
j***T,用起来一般黑屏三回开不开机接触不良
j***e,就是感觉16刚拿到新机感觉耗电很快
u***9,电池超不赖用不怎么玩一天充两次以上
j***d,截屏功能不灵敏，要搞好几次。
j***f,政府补贴都没有介绍到位，没有优惠到
j***z,我只想说 双12买的 现在不到十天就降价几百块 血亏600
j***m,刚买四五天又便宜 100，还不能申请价格保护…
石***洋,4.电池一要天一充，没有快充。
消***风,一个月接电话，自动关机三四次
C***e,半个月降价500，还不能申请保价
j***t,收到货就有划痕的，之前看评价很多都说有小瑕疵
j***r,"才买了，3,4天，就黑屏关机两次"
j***a,手机不知道系统问题还是怎么回事，不流畅
u***g,这个包装我实在是不想吐槽了，又脏又破
舒***e,电池不行，还没以前的13耐用
j***y,电池续量真的差的要命一天充电四五回
e***h,还行吧，包装不好 电池有点小了
售***差,屏幕黄，屏幕小，没有充电头
j***r,手机用了两天静音键就用不了了
m***h,不知道为什么二月份买的手机，却是十月份生产的，
n***M,感觉跟安卓机没什么区别，这个价格不划算
让***起,这个无需多言，就是没有参加国补，浪费了。
u***a,才用了一个月充不了电了，不该在京东买的
牛***糖,老是突然死机，有时候触屏也不行
Z***富,一般般 感觉反应没那么快没高刷
王***员,打个游戏一卡一卡的比11画面还卡 我都服了
C***q,电池掉电特别快 还是plus好用
j***h,经常卡机，需要退出app重新打开
w***l,充电发热，刚买完没几天就降价，还不能价保。
u***p,屏幕一言难尽 抽奖失败 不是三星屏
我***吗,瑕疵也有镜头有灰，不过不影响使用
j***3,收到激活不了 折腾了好久 体验实在是不佳
j***P,翻车了，摄像头旁边掉了一点漆难受！
晓***豆,有点发烫，电池也不耐用，不如买15
j***e,到手到现在还没有一个月 问题太多了 没必要买 避雷吧
e***1,为什么盒子封条没有紫外线防伪？难道京东拆过后封的吗？
5***w,电池有点不保电，不怎么玩电都不保，
旋***贼,物流很快。但是东西一般。 售后电子助理帮不上任何忙。
金***8,壳子上有血渍，不知道是不是保真不保新的机子
小***x,有时候卡住动不了，还有无缘无故关机
善***吖,边框还是有点宽，第一次到货还有问题，换了一下
j***j,电池不耐用跟我苹果12一样电量一样就没了
n***4,买了一月比我买的价格又便宜一千，怎么补偿啊。
2***9,有点卡顿啊，触屏也不灵敏，再观察几天
6***3,买了7天，直接降价200元，还不给价保，离谱
高***1,待机续航一般，边框有的时候还电手⚡️
j***4,才买的。白条收手续费分期，***现在免息还-100
j***n,用了一周，出现过一次自动关机
j***v,偶尔显示无卡无网，拍照拍视屏卡壳！
j***r,唉，才买就又便宜了五百大洋，亏死哒😭😭😭😭
K***k,用的时候出现问题，客服给出的方案解决不了问题
多***6,屏幕经常没反应，一直要用，懒得更换！
今***走,买了就降价，说是7天保价，他是过了7天才降价，手
w***i,9号买的，半个月，降了500，还不能保价
j***i,音质好差，换了又换还是这样。拍视频用
j***K,国补没用上，补贴流程不详，购物体验欠佳。准备退单。
静***舒,用了没一个月 中间突然黑屏关机两次。
m***i,为什么网络反应这么慢？机子有问题吗
j***行,手机屏幕越做越大，做工没有以前精致了
p***j,镜头有灰。。。外壳也有一点污渍，品控一般
u***t,用了一个月，一个月内突然黑屏关机两次
j***x,数据线坏的，申请了还没处理，续航一般
小***堡,屏幕 不太好使 有时候都点不动
j***3,打开相机卡 电池还没得xr耐用 不推荐
j***w,昨天买 今天就国家补贴 给大数据杀熟
j***y,手机总是莫名其妙没有网或者是检测不到电话卡
多***t,充电口旁边有一点小瑕疵用了两天才看见👀😭😭
j***u,机子是官翻机，官方翻新的机子，虽然便宜问题多，不建议购买
满***鸭,刚过价保几天，马上又降200，用在手里都感觉不香了
j***i,苹果手机，买了降价，没享受到补贴，可惜
j***5,不太行，整体来说吧，希望大家别在网上买😓
海***车,买早了两天，又降价了
u***5,续航不行掉电快，信号还是没改善
劝***v,背面的背板两边缝隙不一样，上边大下边小
j***R,没有充电器，有发热症状，256价格6999贵了
不***架,刚买没几天又降价了，WC
9***c,快递很快，但外壳设计感觉有些脏，一般般。
劉***丶,20天不到降价了，难受了
k***箐,买完了一个月降价500
R***d,以旧换新，价保期内出现差价，差了325元，多次反馈还是没有完整退给我
j***f,买完降价200不开心
j***4,这是经历了什么， 脏还有被虐待的痕迹.
t***0,屏幕颜色有点偏，用流量的时候信号一般。
j***o,说实话，不如我这xs mxs操作丝滑，触感有问题
j***l,包装不好都扁了当面签收检测人拿快递当着我的面都直接摔地上摔了好几遍
2***d,买贵了，开市客便宜200块。
飞***离,苹果手机系统流畅度第一，低要求的这种感觉离不开它
j***z,第二天就出现这种情况，手感不好，啥也没有
b***6,一般般。 送货服务不行。
A***9,国补是好事，签收成了老大难，不能配送，跑到快递站两趟才解决，折腾人玩
j***h,刚买两天 国补来了 损失500大洋 难受😣
y***9,电池不行，会发烫！才用了半个月左右
l***4,logo有2条刮横，不认真看看不出来！懒得换了
j***m,竟然没有送送充电头和其他小礼品 比如充电宝等 啊啊
w***I,信号不是很好 感觉触屏反应有点慢
j***y,20多天就死机一次了
远***白,苹果的信号是真的差，然后就是贵，其他的也没发现有什么特别之处
j***z,有点拉垮，屏幕有时候失灵，现在还黑屏
道***悠,一定要贴膜再使用，没两天屏幕就划了一道子
-***-,一代不如一代，设置个墙纸能卡住，越来越拉了
j***b,别的就不说了，够用，主要是拍照咋感觉有点朦
j***e,相机拍照卡顿，快递员不送货上门，还要自己跑去快递站取
麻***长,真的不建议购买，电量好拉，啥也没干一半电没了
我***子,是LG的屏幕，心都碎了💔
l***_,国补订单居然说不送货上门，货到了一天都不主动送，还要我家人过去自提，欠揍
j***9,刚刚收到货，有轻微划痕，感觉不像是新的手机呀
8***9,有时候相机打开会卡住，需要退出后重新打开
j***b,没有高刷120还是不太行
他***梦,信号差！！！ 用了几天外放音乐听筒有杂音了！！
哎***的,降价太快前一天买的后一天降一百还不保价，不退差价，不推荐购买还是买遥遥领先吧
多***喜,又卡又烫，屏幕还模糊
j***f,镜头里面有一灰尘，图片又拍不出来，要怎么售后！
一***一,总卡死重启，挺一般的
j***0,网络信号不好，真实使用感受，不吹不黑。
j***u,买了一个自带Bug的手机 不得不换机 京东买东西体验感越来越差了
z***s,一拿到手机色像头就挂机了~苹果顾问还说这种问题挺多的
哥***止,不知道就我是这样还是别人也会这样，经常会信号不好…
J***T,电池还没改进，截图卡屏，信号还是那么差
G***鹏,一般一般，勉强能用。
j***p,刚买一个月降价500😒
h***e,没有配膜，没有手机壳
j***k,老是莫名其妙的关机 不知道什么原因 不知道店里买的好着呢没
j***y,换不了颜色，粉色是真的不好看，不建议给女朋友买！
u***j,外观有瑕疵，拆开的时候没注意，已经使用了没办法
j***e,手机回来以后边框就有瑕疵 没用几天就自动关机
j***j,到我手上那个快递盒子一个角都是扁的然后看到手机他那个手机盒子那个脚那里也是有泥巴刚拿到时候比视频里还要多
心***殇,还没等拆封，就开封了，不知道是不是后封或者路上零下20多度冻开的，持怀疑态度
f***2,手机画面模糊，触屏不灵，激活了又退不了，
j***q,还好吧 有时候会自动关机不知道是不是系统问题
u***z,以旧换新：我是看有以旧换新的福利才购买的，但是为什么我的没有以旧换新的优惠呢
u***n,拍照效果：比较差，还没有安卓的系统好用
j***l,在家正常接打电话，有时候通话，直接没信号。
j***b,怎么回事呀，好几次了
j***u,刚用两天 音量降下去就自己上来 也不知道咋回事
马***匆,包装盒有点脏，国补需要当场激活，机子是正品，开相机有点卡
j***u,电量掉的特别快，不好
h***g,一般般，和12区别不明显
j***8,性号差，打电话有异响
j***g,一般一般一般一般一般一般一般一般一般就是个乞丐版，，，，，，，，，，，，，， ，
j***6,不是……这一开箱就是这样……我还能信这是正品吗……
j***O,用了一个月，自动关机两次了，电池也不太行
7***a,感觉屏幕不清楚拍照后也还要xr拍照后清晰度好质量真越做越差了
j***k,续航差，手机卡顿掉帧，动不动提醒你关机重启
j***d,没想到16的价格波动这么大，价格不停的变动，买得心理确实不太舒服
C***k,买完不到20天发现降了300块，我都还没有开始用，价保也用不了，避雷！避雷！
蜗***手,感觉国补来的货不咋样。包装反正是很破，一个压坏的破盒子就来了。。
j***f,续航不太好，出去拍照的话100电只能用3个半个小时
j***o,到现在已经自动关机两次了，一次在打王者一次在通话中
0***3,商品ok，配送快，价保无用，联系客服价保结果送的优惠券不能用了，客服服务差，现在的京东不是以前的京东了
j***e,刚买不到一个月，司机好几次了。还是要在专卖店买才行.
j***b,摄像头磕手，屏幕白色均匀度一般，后悔买了，早知道等se4的
j***c,我这台是京东方屏，显示效果不如三星屏通透，想要三星屏的下单前一定要问明白
j***4,不知道咋滴… 有点卡壳
x***u,感觉就那样，不好不坏，和以前款区别应该也不大
j***x,app没法下载，去线下店花钱换了个系统才能用
S***e,声音控制失灵了，没有办法静音，网络也是真的差
杨***店,一般，经常崩溃，重启，
C***7,机子暂时还没发现问题，但盒子就有事了，都磨砂皮了又脏
j***u,不差预算的话建议Promax的高刷，并且这个白色没有15的蓝色好看，至于质量问题暂时还不知道
P***U,一般吧，电池续航不行，还没有我原来的13好用。
j***i,新手机买来升级过程中就卡在了你好界面，要求退换客服不予理会，最后打了12315。
u***r,手机价格确实便宜。但是不知道为什么发票上的手机串号，比手机上多一个字母。
j***s,感觉电池的电量不耐用，甚至比不上我用了三年多的13。
j***K,新机器屏幕就有划痕 着急用懒得换了 京东注意下品控吧
白***瑕,不好用，卡顿，打字也慢。加载显示也慢，买了后悔系列。
a***-,以旧换新 旧机现场压价了 远低于线上估价 而且少用了六百元券 价格不划算
9***g,旧的电源线和有线耳机都不能用，没有感觉更换有什么意思
u***h,还行吧，用了半个月多摄影头就出问题了，质量不好
浩***3,外形外观：摄像头有灰，不知道为什么京东自营还会出现这样的问题
j***j,感觉一般，而且实际的价根本没那么低，不过手机还行，
雅***学,除了屏幕边缘不灵敏其他还好以后买还是实体店吧京东换货太麻烦还得检测
j***p,虽然有国补。上来也不让买家检查外观。直接开机激活
u***b,不知道为啥，熄屏了打开会有一点点卡，用一会儿了就好了。
j***b,不知道买手机居然没有充电器，手机到了又去买充电器
j***c,流畅度还可以电池不耐用在冬天拿不出去手体验非常不好的商场有时候没有信号
j***z,会自动关机（不知道什么原因），打电话时莫名其妙突然有杂音
j***p,我第一在网上买六千元的手機📱，而且手機外面還有瑕疵，以後我都不敢在網上買这么贵的東西
4***w,手机用一会或者充电会巨烫，我服了，巨烫，我以为都要爆炸了
o***i,旧款换新款挺划得来的，就是爱回收配送。配送舒服慢了一天。本来是昨天送到，今天才送达
今***i,体验还可以吧，但是有时候相机打开有些卡顿，不懂怎么回事
深***蓝,手机没毛病，但是京东这个保价规则太影响消费者心态了，时间短，降价变化快，逮到一个算一个，真有意思！
j***r,除了反应有点延迟，长视频发不出去，其他的还能接受
u***2,充电刷视频发烫，不充电打游戏的时候也发烫，不知道到了夏天咋办
j***9,以旧换新：以旧换新体验感差，回收取件速度慢，后续流程估计也拉。
j***z,电量没有介绍的那么好，最多只能用一天，还不能看太多视频。
愤***颖,建议大家不要着急买，开始发货发个破破烂烂的，换货后手机收到当天价保就没了，没过两天又降价了，价保也没有，客服也不管，说价保时间过了，我手机拿到才四天，就降价。
j***q,打开相机卡顿 转换摄像头也卡顿 ，收货也要发序列号给快递员。
j***x,16屏幕有延迟，比不上15pro，换了才知道，有点划不来。
j***s,使用还没有一个月，扬声器没声音了，不知道有没有一样情况的？
