用户,评论
j***3,老手机使用多年，内存有点小，趁现在有国补，特意换个新手机，老手机是苹果的，用习惯了，新手机还是选择的苹果，系统流畅，用着很顺手。做工精细，很喜欢！
C***0,新入手iPhone 16，简直太香了！  心心念念的iPhone 16终于到手啦，迫不及待来给大家分享~  这次选了256GB白色款，实物颜值超高，简约又时尚，质感满满，拿在手上超有面子。  拍照效果超赞，清晰度和色彩还原度都很棒，拍风景、拍人像都很出片。A18仿生芯片性能强劲，运行各种大型游戏都非常流畅，毫无卡顿。256GB的大容量，完全不用担心内存不够用，尽情下载各种软件和保存照片视频。  在京东下单物流超级快，包装也很严实。这次购物体验真的超棒，推荐给想换手机的小伙伴！
j***m,家人们谁懂啊，新入手的苹果16 黑色，真的绝绝子！一拿到手，这高级的磨砂黑外观，质感满满，摸起来超舒服，而且一点指纹印都不留。系统运行那叫一个丝滑，不管是日常刷剧、玩游戏，还是多任务处理，完全不卡顿。拍照效果更是惊艳，拍夜景的时候暗处细节都能拍得清清楚楚。电池续航也不错，中度使用一整天没问题。信号比之前的机型强了好多，在电梯、地下 停车场这些地方，网络都很稳定。 这次苹果16真的没有让我失望，爱了爱了！
小***宝,iPhone16整机黑色的颜色很有质感，铝金属边框特别耐用，整机十分轻便，仅170多克的重量，拿在手里特别轻盈，在屏幕显示方面，屏幕尺寸为6.2英寸，显示特别清楚细腻，搭载a18芯片，性能释放出色，能效比提升特别明显，除了充电速度相对来说较慢以外，整体使用体验良好，值得推荐！
是***啊,"入手iPhone 16几天，体验感拉满!6.1英寸应用后屏单手操控无压力，新增相机按键抓拍超快，4800万主摄的微距和空间照片玩法多样，夜景细节更干净。A18芯片性能炸裂，日常流畅度稳如老狗，续航提升明显，一天一充无焦虑。""视觉智慧""实用，扫海报存日程、拍植物秒识别，交互更智能。但祖传60Hz屏幕滑动拖影，20W充电还是太慢不如安卓。总体来说满意的一次购物，京东物流配送快"
欧***根,我用苹果 16 黑色 256G 有一阵子啦😎，真的被它折服😃！黑色的机身特别有质感，神秘又酷炫💖。256G 的大内存，存啥都不担心不够😝。系统运行超流畅，玩游戏、看视频都不带卡顿的👏。拍照效果那叫一个清晰，夜景拍摄也很出色。总之，这款手机太让我满意啦😜
2***f,外形外观：买到了物美价廉的好物，质量出色。物流迅速，商家服务周到，售后放心。宝贝收到，一如既往的好，包装很到位，质量还不错，很喜欢，大品牌值得信赖这次购物非常满意，商品性价比高，质量可靠。物流高效，商家服务周到，售后完善。跟描述的是一样的，很显高档，物美价廉，要买的朋友可以下单噢！真心喜欢，颜色、款式都非常棒！东西比我想象中的还要完美，十分给力，值得入手
M***-,iPhone16 真的太出色了！外观时尚又精致，线条流畅，质感十足。屏幕显示效果惊艳，色彩逼真，清晰度超高。性能更是强大，运行各种应用和游戏都无比流畅，毫无卡顿。拍照效果绝佳，无论是风景还是人像，都能拍出专业级的照片。国补也很给力。
j***c,1. 这手机性能太顶了！运行流畅不卡顿，拍照效果超绝，续航也给力，完全满足我的日常需求，入手不亏！ 2. 狠狠爱上这部手机！屏幕显示超清晰，系统操作顺滑，游戏加载飞快，简直是我的梦中情机。 3. 必须夸夸这款手机，外观精致，手感舒适。信号强，充电快，用了一段时间，体验感拉满，太满意啦！
6***j,外形外观：外观时尚，很好用，很不错！ 屏幕音效：屏幕感觉跟以前没有什么差距，很不错 好评。 拍照效果：拍照效果感觉比我以前强太多了！很不错！h运行很流畅，续航也不错！
八***亮,老妈手机坏了，给老妈安排上了，赶上有补贴买了一台，价格很便宜，手机性能很好，颜值非常高，真的很薄，屏幕看着也很舒服。拍照很清晰，广角真的绝绝子。很满意，有机会还会回购的。老妈很喜欢！京东物流很快很满意！用了几天老妈说真好用！
y***Y,最后选择了一款iPhone 16，目前使用非常流畅。手机手感很好，白色磨砂面非常漂亮。手机不卡顿，薄厚适中，价格非常优惠。京东送货非常快，今天拍下第二天就到了。 拍照效果：Nice 待机时间：Nice 运行速度：Nice 屏幕音效：Nice 外形外观：Nice
用***7,家人们，iPhone 16真的绝！手感超棒，170克机身轻盈，单手操作无压力。A18芯片性能强劲，玩游戏一点不卡顿，运行各类App都很流畅。拍照效果也很赞，4800万像素主摄+超广角镜头，日常记录完全够用，实况图超有氛围感。虽说没高刷，但对我影响不大，整体使用感超奈斯！
何***2,颜值非常高，以旧换新，A18的运行速度没的说，非常棒，只有你用了安卓之后才发现苹果是多好用，新款苹果16，正常使用绰绰有余，拍摄清晰屏幕不错，用起来也省心，全新未拆封，待机时间，使用手感不错，轻度使用甚至能用两天，21号收到宝贝，外形很好看
j***w,外形外观：颜值高，好看，一代更比一代强 屏幕音效：很好，清稀，不输120hz的 拍照效果：效果很棒，比之前的安卓手机，要好很多的，还有拍照按键 运行速度：迅速，很棒 待机时间：一天一充好就
j***华,收到这个机器以后，我买的是黑色的，后盖是磨砂质感的，特别的好，特别有质感，而且不会留下指纹。而且这个手机很轻，才180克，手感很好。我是裸机使用，不贴膜，感觉特别好用，特别丝滑，好评五星好评，京东给力，下次还买。
复***y,外形外观：手感很好用起来很丝滑 屏幕音效：没发现屏幕漏液非常好 拍照效果：没发现有斑点 运行速度：不卡运行状态很好 待机时间：还挺久的，20w充电快的没得说
纸***张,这款能量饮料真是非常好！首先，它的包装设计简洁大方，颜色鲜艳醒目，让人一眼就能认出这是一款能量饮料。其次，饮料本身味道很不错，入口即化，口感细腻丝滑，完全没有颗粒感。最重要的是，它富含多种维生素和矿物质，能迅速补充人体所需能量。特别是对于运动后的人来说，这款饮料不仅能迅速恢复体力，还能有效缓解疲劳。整体来说，品质真的很高，强烈推荐给大家！
1***爱,家人们，换了iPhone 16之后，我只想说苹果真的永远不会让人失望！灵动岛交互还是那么妙，日常使用各种丝滑，新系统搭配A18芯片，运行大型游戏都毫无压力，一点卡顿都没有。拍照效果更是惊艳，色彩还原真实，暗光拍摄也清晰，夜景模式下随手一拍就是大片。续航能力也有提升，出门一整天电量都稳稳的。直角边框设计颜值超高，拿在手上质感满满。如果你也在纠结换哪款手机，选它准没错！
j***华,我买的是黑色的，后盖是磨砂质感的，特别的好，特别有质感，而且不会留下指纹。而且这个手机很轻，才180克，手感很好。我是裸机使用，不贴膜，感觉特别好用，特别丝滑，好评五星好评，京东给力，下次还买。
啾***a,相信京东的自营店，手机拿到手很轻，和之前的11比起来，我一度以为这是模型机。新手机用着就是爽，各项功能都很新颖和独特，外形也是我喜欢的模样，为此挑了好久的手机壳；音效更是完美，和音响设备差不多，拍照很清晰，待机时间长，毕竟是新电池，总之可冲
3***s,新买的16 256g标准版，最近京东有活动，很划算立刻拿下！ 外形外观：一如既往保持高端大气上档次 屏幕音效：用下来还不错 拍照效果：比15更好些很喜欢 运行速度：这个还没感受到，期待中 待机时间：用下来真不错。一天一夜稳稳的
J***N,用了段时间iPhone16，真挺不错！轻薄机身拿着舒服，6.1英寸屏画面清晰，户外强光下屏幕也清楚。A18芯片超给力，玩游戏、处理多任务一点不卡顿，搭配iOS 18系统，流畅又稳定。4800万像素主摄拍照超清晰，实况图也好看，还能拍空间视频 ，超赞！
暖***h,入手这款手机简直太惊喜啦！外观精致，握持感超棒，磨砂后盖不易留指纹。屏幕色彩绚丽，刷剧玩游戏超沉浸。骁龙处理器运行流畅，多任务切换毫无压力。续航给力，一天重度使用都不虚，快充回血超快。拍照效果惊艳，夜聚模式堪比夜视仪，入像虚化自然。性价比之王，彊烈推荐给憑换手机的小伙伴~
y***8,iPhone 16体验超预期！A18芯片性能炸裂，运行大型游戏丝滑不卡顿。6.3英寸灵动屏色彩饱满，60Hz高刷滑动更跟手。拍摄夜景通透，电影模式虚化自然。续航提升明显，不打游戏从早用到晚电池还有40%，真的重度使用一天无忧。磨砂背板手感细腻，新增冰川蓝配色高级感拉满，果粉闭眼入！
j***g,家人们谁懂啊，换了苹果16之后体验感直接拉满！外观简约精致，拿在手上超有质感。操作流畅得不像话，各种软件随意切换都毫无压力。拍照效果更是惊艳，色彩还原度超高，随手一拍就是大片。续航也很顶，出门一整天电量都稳稳的，真的爱了！
p***q,颜值:这个颜色绝绝紫，很适合女生用，特别是漂亮小姐姐 手感:用了几年安卓大屏，一重新拿到iPhone ，真的手感太好了，重量和尺寸都配合一绝，下次估计我也要换回来了，实名羡慕老婆 系统:一如既往地丝滑，也很容易上手 续航:续航非常中规中矩，这个还是需要改进的
老***2,这款手机体验堪称惊艳，性能强筋，运行丝滑不卡顿，拍照超清晰，续航超持久，颜值还高，入手不亏，屏幕显示细腻，触感灵敏，系统简介流畅，打游戏稳定不掉针，日常使用省心省力，颜值与实力并存的宝藏手机，续航扎实，信号强，自带功能非常实用，性价比拉满
花***花,买来当备用机 机身小巧适合女生使用 这次的白色很喜欢 外观一如既往简约大方 整体磨砂的材质看着比较有质感，机身比15系列要轻便，像素正常用完全够用 很清晰
拂***茫,还可以。从iP12换来的，系统流畅性还是比原来的机子快，丝滑细腻柔软。 外形外观：感觉镜头太突出，刚到手很不适应，不过还好。 屏幕音效：音效有很大的提升，效果很好👍 拍照效果：拍照很不错。
h***0,这次在京东入手的 iPhone 16 深青色简直绝了！外观时尚大气，深青色独特又吸睛，质感超棒。新机运行流畅无比，各种软件秒开，拍照更是惊艳，细节还原度超高。而且京东物流配送超快，包装严实。真心满意，必须好评，购物就选京东！
绿***叶,外形外观：很好看，非常喜欢 屏幕音效：很顺畅，妈咪很喜欢 拍照效果：非常清晰，360°无死角 运行速度：挺不错的，非常流畅，速度很快 其他特色：颜色很好看，很耐看续航能力可以，非常满意。
b***h,从iPhone3GS开始一直在使用苹果的手机，觉得很稳定，使用感觉也很好。系统应该是苹果手机的最大亮点，之前XS PRO MAX使用了6年一直没有卡顿，只是电池不行了。趁着有国补和以旧换新，以很实惠的价格拿下iPhone16。没有什么特别的感觉。够用就好。白色的，很清爽。
t***7,这款手机非常好用，打游戏也不卡顿。平常使用时，内存很大，手感光滑，不易摔烂。屏幕较大，方便使用，屏幕光滑，非常好用。质量太好了。
余***年,这款手机的外观真是太棒了！白色的机身简洁大方，仿佛是一件艺术品💎。正面的大屏幕显示效果非常清晰，无论是观看视频还是浏览网页都特别舒服。背面的摄像头设计也很独特，给人一种高级感✨。操作起来也非常流畅，反应速度快到飞起！🚀 我特别喜欢它的续航能力，一天下来基本不用充电，真的是完美解决了我的电量焦虑。总体来说，这款手机性价比超高，强烈推荐给大家！👍
j***1,屏幕：6.1英寸超级视网膜XDR OLED屏幕，色彩丰富准确，支持HDR10和Dolby Vision，峰值亮度2000尼特，但刷新率仅60HZ。 相机：4800万像素主摄+1200万像素超广角镜头，拍摄质量显著提升，支持OIS光学防抖和多种拍照模式。 性能：搭载A18芯片，性能强劲，无论是日常应用还是大型游戏都能轻松应对。 续航：电池容量3561mAh，视频播放时间最长可达22小时，支持25W MagSafe和15W Qi无线充电。
j***呀,入手苹果 16 有段时间了，必须来夸夸！它轻薄小巧，170g的重量拿在手上超舒服，单手操作毫无压力。后置竖排双摄既经典又好看，整机背板一体感更强。粉色版本的在不同光线下超有韵味。A18 芯片性能强劲，目常使用顺滑流畅，玩游戏也毫无压力，发热控制得相当出色。相机按键实用，拍照响应迅速，随手一拍就是大片质感。电池续正常使用一天妥妥的。真心觉得这手机买对了，强烈推荐给大家！
发***财,"外形外观：外观上跟我的13就是摄像头差别，但是手感非常得好，非常的轻，比我13还要轻 运行速度：疫情速度那肯定是非常的快乐，那个没得说了 拍照效果：拍照也比我这个1,200,000,000的帅气多了，希望能再撑五年"
j***b,黑色的手机看起来高端大气，质感很好。铝合金镶边耐磨，拿在手里轻盈轻便。操作系统比之前的iPhone更加流畅，优惠力度大，购物非常满意。 这次刚好有国补，在加上以旧换新，优惠力度换是很给力。购物换是相信京东，京东的服务和快递配送服务都是很给力，购物一致都是京东，方便快捷 外形外观：比之前的机型都好看 屏幕音效：音效比较给力
J***丶,iPhone16 256GB黑色版表现出色。外观设计时尚大气，黑色更显沉稳高雅。性能强劲，运行流畅，无论是日常使用还是高负荷操作都能轻松应对。存储空间充足，满足各种需求。综合来看，iPhone16 256GB黑色版是一款值得推荐的优质手机。
j***a,这款手机外观时尚，手感极佳。屏幕显示清晰细腻，色彩鲜艳。系统运行流畅，反应速度快，无论是玩游戏还是看视频都很赞。拍照效果出色，清晰捕捉每一个精彩瞬间。电池续航力强，满足日常使用需求。性价比超高，强烈推荐
C***好,我就趁国补入手 iPhone 16 有段时间了，到现在用了半个月了，来给大家分享下使用体验，优点缺点都很明显。 先讲讲优点。外观设计上，iPhone16延续经典扁平机身，正面细边 OLED 灵动岛直屏搭配背面全新竖排双摄模组，简约又大气，辨识度超高。170 克重量拿在手里也不重，垂直 r 角和融色玻璃背板的设计握持起来很舒适，6.1 英寸屏幕尺寸对小屏党刚刚好，颜值我还是蛮中意的。
J***4,iPhone 16真的太出色了！它搭载的A18芯片性能超强，无论是处理复杂的工作任务，还是畅玩大型游戏，都毫无压力，运行速度飞快，从未出现过卡顿现象。配合5G网络，下载文件、在线观看视频等都能享受到极速体验。 拍照方面更是令人惊艳，4800万像素主摄搭配1200万像素超广角镜头，光学防抖技术让拍摄的照片和视频都清晰稳定，细节丰富。白天拍摄风景，色彩还原度极高；夜晚拍摄也能轻松应对，暗处的景物也能拍得清清楚楚，随手一拍就是大片。
T***唐,这款iPhone 16真是令人惊艳！紫色的外观时尚又独特，握在手里手感非常舒适。摄像头拍照效果出色，色彩还原度高，细节丰富。系统运行流畅，无论是日常使用还是玩游戏都能轻松应对。电池续航能力强，充电速度快，整体体验非常满意！
3***奈,用了两周的iPhone 16，彻底被苹果的细节打动了！首先6.1英寸超视网膜XDR屏肉眼可见的升级，峰值亮度飙到2000nit，大太阳下刷小红书、看导航完全不反光，OLED的色彩也更通透，追剧时连人物皮肤纹理都看得清清楚楚。机身比想象中轻薄，钛金属边框手感温润，新出的粉色实物超高级，不艳俗反而带点雾面质感，拿在手里像艺术品
F***h,iPhone 16 512GB真是太棒了！京东发货超快，包装严实，到手全新正品。手机运行流畅，A18芯片性能强悍，拍照效果一流，特别是新加的相机控制按钮，用起来很方便。512GB存储空间够大，随心下载应用和视频。屏幕显示细腻，色彩鲜艳，整体手感超赞，值得入手！
_***_,iPhone16整机白色的颜色很有质感，铝金属边框特别耐 用，整机十分轻便，仅170多克的重量，拿在手里特别轻 盈，在屏幕显示方面，屏幕尺寸为6.2英寸，显示特别清 楚细腻，搭载a18芯片，性能释放出色，能效比提升特别 明显，除了充电速度相对来说较慢以外，整体使用体验良好，值得推荐！
W***n,这款华为MatePad 11.5英寸平板电脑真是让人满意！外观设计时尚小巧，携带方便，屏幕清晰度高，色彩还原也很棒，使用起来很舒适。系统流畅，操作简单，功能丰富，特别适合办公和学习。内置的HarmonyOS系统的确名不虚传，交互体验非常棒。整体来说，这是一款性价比很高的产品，强烈推荐！
q***m,苹果16手机白色真的是太好看了！！外观时尚大气，精致的设计拿在手中尽显品质。屏幕显示清晰细腻，色彩鲜艳逼真，无论是看视频还是玩游戏都带来极致的视觉享受。性能更是强大，运行速度飞快，各种软件都能轻松应对。拍照效果也令人惊艳，清晰的画质和丰富的色彩还原度，随时随地都能记录美好生活瞬间。电池续航能力也很不错，不用频繁充电。而且操作系统简洁流畅，容易上手。总之、苹果16是一款非常值得拥有的手机，强烈推荐给大家!
知***c,包装严实没有破损。快递送货上门，放心安全。手机非常新潮，按照说明书很好操作。，双卡双待，支持两张移动卡同时使用。操作便捷简单，功能强大，多种多样的设计。给妈妈买的新手机，选择最高配置的，电池电量也很给力。她说颜值很高 ，系统运行流畅，性能强大，设计精美，安全性很高，手感非常舒适，音质清晰动听[大爱]
j***7,以旧换新：非常不错的新手机，操作也很方便快捷 外形外观：外形不错，依然保持了苹果手机一贯的风格与品质 屏幕音效：屏幕不错，音质效果也很好 拍照效果：拍照效果可以，对于我来说够用了 运行速度：运行速度平滑 待机时间：待机时间延长了，很方便使用
w***5,Iphone16好评如潮，延续了苹果手机一贯的高品质水准，外观设计精美，性能卓越。安全性极高，面部识别技术让我轻松解锁手机，使用起来非常方便。 拍照效果：增加的侧面那颗拍照按钮非常方便，一滑就可以调整放大倍数，便捷！
月***秋,不得不说它的苹果16🍎上手效果很赞！256的内存够用了，性价比很高，屏幕色彩鲜艳，又很护眼，看视频、玩游戏视觉体验超棒。户外峰值亮度够高，大太阳下屏幕内容也能看得清清楚楚。
木***1,外形外观：手感很不错，整体很轻盈，没有太棱角 屏幕音效：屏幕很清晰，触摸准确 拍照效果：拍照清晰，夜景很美，过度很好 运行速度：运营更不用多说了，嘎嘎叫
懒***哥,是苹果老粉了，从11换的16，比线下店还要便宜200块呢。上午10点多下的单，当天下午就收到了，速度非常的快，赞一个！使用了几天才来评价，相比11来说16机身要轻巧多了，拿在手里很舒服，新增的灵动岛也很可爱很好用，手机流畅度高，值得入手哦！
j***2,16刚出时就想购入，一直没买，刚刚收到手感真是和以前的苹果7系列没法比，一个手操作刚刚好，特别轻盈，颜色也很赞，相机真是没得说，嘎嘎清楚，反应是真的快
彦***8,iPhone 16使用体验惊艳！全新曜石黑配色高级感拉满，A18芯片运行流畅，游戏剪辑毫无压力。4800万像素主摄夜景纯净，超广角畸变控制优秀。6.1英寸Super Retina XDR屏幕色彩细腻，ProMotion自适应刷新率丝滑。续航提升明显，全天重度使用无压力。iOS 18系统交互更智能，5G+Wi-Fi6E网络稳如磐石。从性能到细节都彰显旗舰水准，果粉必入！
j***3,外形外观：外观设计实在让人惊艳，细节处理得恰到好处，每一处都展现出精妙的工艺。简洁而优雅的外形不仅赏心悦目，还透露出一种低调的奢华感。无论是放置在何种环境中，都能成为吸引眼球的焦点。真是一款外形上无可挑剔的佳作。
齐***s,用了四年的红米K40游戏增强版光荣下岗了，刚好看到这款苹果16很合适就换了，手感很好适合手小的人单手使用轻松自如，音质很棒屏幕显示效果很好，录像效果更是一流，上手了几天非常满意
S***3,这款商品真的是太棒了！📱✨白色外观简约大方，握持手感非常舒适。拍照效果也很不错，白天黑夜都能拍出清晰的照片🌞🌙。性能方面，使用起来非常流畅，游戏和日常应用都无压力⚡。屏幕显示效果也很出色，看视频、刷网页都很爽🎬🍀。总之，性价比超高，值得入手！👍😊
爱***-,屏幕音效：不错 拍照效果：很好 外形外观：好看 运行速度：非常非常快 这款手机真的非常出色！📱👍无论是屏幕音效还是拍照效果都很棒，特别是外形外观，设计感十足🔥，而且运行速度非常快，使用起来超级流畅⚡️。强烈推荐给大家！
一***懵,从上一次ip15plus到这次的iph16，都是在自营店下的单，老手机抵扣回收特别的方便，上门服务，验收非常正规，自己选择的老机器皮毛，这两次都又倒给我钱了，哈哈，手机也是很正规的新机！以后要是再换手机还会继续在本店下单！值得信赖也方便！ 另：已经使用了两天了，16基础的手机大小非常适合我这个手型不大不小的女生，内存512也是够用了，我是各种照片视频拍拍拍的人，之前256的，这次换个512我觉得下次再换应该就是苹果20了…粉色实物真的好看！喜欢就冲！
j***l,拍照清晰运行畅快续航很好 用起来不错，续航大概100个点用7-10小时以内，拍照很好看，很小巧，我很喜欢，买来主要是因为拍照好看，网上评价参差不齐，看自己需求和能力斟酌就好！
A***猪,屏幕显示正常，系统很流畅，摄像头清晰，时尚美观，优惠力度很大，电池续航能力强，电池续航能力强，音质表现优秀动听，耐用性好抗摔性强 收到货后很喜欢 感谢官方送来的福利 很喜欢这款手机正品手机 全新的 像素超级好 手机一点也不卡超级流畅
岸***上,这款手机真的是无敌性能小钢炮！💪无论是外观设计还是内在配置都堪称完美。握在手里质感十足，运行速度非常快，玩游戏不卡顿，看视频也很流畅。总之，性价比超高，强烈推荐给各位小伙伴们！👍📱✨
u***w,外形外观：白色好看 拍照效果：反应快 成像好 运行速度：因为新机 下载很多APP 手机还是发热 待机时间：新机3个小时 用了22%的电 其他特色：国补500元，之前没得白色，今天看到有白色就下单了，上午下单，下午就收到了
M***2,手机不错，和实体店一样，15换16，颜值很高，值得推荐 运行速度：快 外形外观：白色很完美 屏幕音效：可以 拍照效果：赞 待机时间：很长 其他特色：很好
j***u,通信音质：音质又有了很大的提升，音量也变得更大了。显示效果：屏幕显示非常棒，很细腻颜色也很不错其他特色：大屏幕看视频很爽，电池也耐用。做工精致手感棒棒的。
j***2,特地用了一段时间才来评价，挺好的，触感很好很灵敏，反应也很快，电池也足够用，用的不是太多的话，一天充一次就够了。设置了面容解锁功能，反应也非常快。还使用了以旧换新的方式，旧手机退回去后还可以扺1000多元，再加上国补，价格就挺实惠的了。
碌***郎,这款苹果16外观设计很有质感，单手握住刚好，单手操作也很方便，非常舒服的握持感。充一次电可以续航一天，看视频屏幕十分清晰，音质效果很好，拍照效果也很好值得购买。手机外观颜值也很不错，各个年龄段用都很合适
浅***2,外形外观：外形外观都非常不错，手感很好，白色看着特别干净 屏幕音效：屏幕清晰，音效也挺好的 拍照效果：拍照效果感觉挺好的，平时就原相机 运行速度：运行速度非常快，反应特别快，很好用 待机时间：待机时间目前还可以
S***7,外形外观：很好看 屏幕音效：音质不错，很清晰 拍照效果：杠杠的，清晰度很高，拍出来的照片也很好看 运行速度：运行很快，不用担心卡机，很顺滑
科***-,挺好的，和想象中一样，随意搭都很好看，满意！真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物是理想中的产品9，质量不错，物流也很快，值得点赞！商品物超所值，质量没毛病。物流迅速，商家服务热情，售后服务周到。这质量真是太意外了，实物美美哒，触感很好，很推荐哦~质量让人惊艳！精细的做工，优质的材料，每一处都彰显着高端品质，爱了爱！
s***X,刚买的iPhone 16真是太令人满意了！白色的外观简约而优雅，拿在手里简直爱不释手。苹果的品质一如既往地出色，机身的触感与握持感都恰到好处，既不大也不小，单手操作毫无压力。特别是拍照功能，画质清晰，色彩还原真实，每次拍照都是一次享受。真是物超所值，强烈推荐给追求品质生活的你！
j***9,外形外观：，这个尺寸太合适了，外观设计特别漂亮，品控一如既往的好 拍照效果：拍照技术一般的，技术可以有效弥补一下 运行速度：运行速度流畅，还是要使用一段时间再来评价 待机时间：刚拿到手，运行一段时间后来追评
F***5,外形外观：时尚精美 屏幕音效：高清屏幕，音效非常给力 拍照效果：手机界拍照王者 运行速度：流畅丝滑，流畅丝滑，这台手机的运行速度真的是太快了，流畅丝滑得让我怀疑人生！屏幕也是超清晰的，简直是我这种小户型的福音。外观也是美美美，喜欢！😍
1***L,用了几个苹果的手机都觉得不错，可以用好几年，而且也不卡。之前的手机现在有些慢了，开一些程序总是要重新加载。现在买了新手机，大小合适，运行内存足够，值得更新。平时作为主力机，速度很好，也不卡，非常满意。
猪***侠,A18芯片性能爆表，运行丝滑不卡顿！ 48MP主摄+AI影像，夜拍清晰如白昼。 续航升级，重度使用轻松撑一天。 6.7英寸超视网膜XDR屏，色彩细腻逼真。 全新操作按钮+钛金属机身，实用又高级！
派***上,这款苹果手机设计精美，功能实用，操作简单便捷。材质优质，耐用性强，细节处理得非常到位。使用后效果显著，满足了我的需求，性价比超高。无论是自用还是送礼，都是极佳的选择，强烈推荐给需要的朋友们！
