用户,评论
c***2,买完不久就降价，还不能退差！
j***f,刚买几天就降价了，还不退差价，大家买的时候避坑吧
j***u,不到半个月，开不开机了
j***6,买了十来天就降了1千元，问客服理都不理人，
孟***户,延误派送 当天没送到 第二天才送到
老***命,买了没有十天又降价，京东可以关门大吉了
u***x,保价刚过一天就降200是啥意思啊
r***y,买的时候没有国补。损失惨重。
j***h,一个月内自动重启了两次
N***u,以旧换新：没用上国补，500元差价
j***g,手机刺客 过了七天价保马上降价 12点过的 1点就降了 一共被刺600块
不***线,包装脏兮兮的 生产日期还是2024年的
j***d,没必要买，意外摔了没有保修
我***5,刚买一个星期就又跌价，很好☺️
骑***哥,手机边框有瑕疵，这就是所谓的电商机
j***n,用了一段时间才来评价，喜欢的可以购买哦！
大***叔,这个价钱买小米或者m70更好
j***n,国补都没领取到，又不提醒
风***丶,手机有问题不处理退货退款
j***n,跟我说添加其他商品就不享受国补，真牛
o***4,预约配送当天下午的，结果第二天才到货，
胡***灵,什么都没有送，发过来就一个手机
w***w,双11买的，一个多月就降了100
j***7,快递员直接就给我激活了，另外一台手机还没传输
u***9,不到两周降价2百元，实在过份
小***t,刚过7天保价期，第8天就降价！
j***g,数据线有问题充不了电
j***n,反应速度好慢，没有那么好
牟***丞,各种bug，拍照卡顿，检测也检测不来啥
懒***6,我想说的是苹果16的电池不怎么样
s***y,国家补贴不能申请价保
j***q,也就那样，买了不到半个月降价200。
j***8,手机到货后 询问客服 客服一直不搭理人
A***庄,买了7天，便宜了500，保价还失败
发***粥,我付了第二次换货了还是有问题
q***0,骗子，买的时候显示可以国补，收到货激活了补不了
f***o,血亏买了就降价，送货也慢
爱***机,收到货就是有磕碰的，问题手机！ 不过好在客服同意换新了，
超***姐,16的通病吗，经常卡死，点不动
Z***6,就几天，降价了，也不能价保
j***r,机子外壳有瑕疵，感觉像二手的，有点卡
j***i,有线头，防水一般，内容与宣传不符
j***w,不到半个月来个降价，有病
C***3,人上人嘛，必须五星好评，分期付款。
a***l,买了两次第二次不给优惠劵
j***c,不好👎横人说说保价没有@客服不回信息
j***n,才买几天就降价还不给补差价
可***酱,双十二购买，年货节就降价
j***8,老是卡机，发信息一直让我关机，还划不动
j***k,刚买收货凌晨就降价100还不退差价，投诉无门
j***i,买了两个手机，充电线坏了去保修要半个月时间，晕
j***t,购买回来就是坏的 京东拒绝处理 心凉
明***0,刚买来就时不时自动关机
j***i,买的时候领了国补用不了，今天一看就能用国补了
辉***J,大哥，我是色盲吗？这是黑色的？？？
j***o,买一个月不够降价差不多一千大离谱了
3***1,买了刚好7天就降价，京东的信誉一落千丈啦。
L***5,14号买的，这才几天就降价500
j***n,13号到的一个月没有便宜了三百
小***看,刚过七天就降200，背刺小能手，大家不要买
j***n,客服服务质量差，霸王条款
墨***宵,买之前，上网搜下16的苹果什么情况，别糟心。
j***6,刚买就降价，还不能保价
买***少,壁画真多 东西不好 服务更不好
j***k,1月份买到10月份生产的手机！！
j***x,买了七天就降价了也不给报价。 体验感一点不好🙅
j***x,刚刚买完到手两天国补就便宜500块
丨***丨,相比其他店他家的售后服务差的一批！
f***p,买完就降价，价保还只有七天，
心***啊,手机在价保期降价不返钱不受价格保护
u***z,手机在哪里？我没有收到
h***3,才几天时间就降了100多块
j***Q,除了送货快，也没啥优势了
u***7,刚买就降价500，还没过7天，不给退钱，还有脸说补差价，呸！
u***s,刚买就降价，还不退差价
j***p,亏了500块，买贵了，也不给保价
j***6,面容识别不了，语音助手不行，像翻新机
一***2,才到手一个月屏幕就出问题，返厂维修。
j***r,功能还不如几年前的小米8，苹果😄
m***2,都2024年了基础款还没有高刷，真拉
召***王,机器是半年前生产的，今年买的，生产日期去年，没人管
我***啊,本来看在6000以上不参与国补，结果刚买就降价国补优惠了。。。
滴***醉,晚上收到的夜里就降价500还不支持保价
j***q,买了还没一个月降了500块
j***s,还是别买16了，充电器没有！！！
2***8,不理想，外表无划痕，其他一般
追***神,双十二优惠伍佰 七天保价一过竟然优惠捌百 搞双十二有啥意义 呵呵
j***6,商店app下载没速度 手机问题 不建议购买
j***i,购买的时候选择了以旧换新，但不知道为什么没有了
j***y,没两天就降价了，不让退差价。
j***t,买完就国补，还没有保价
q***d,买完一天就国补降价了，损失五百多
Q***帥,外形外观：外观不怎么好
u***b,申请售后不处理，速度慢，不退差价
涂***伤,说好的国补呢！为什么快递员没有
j***3,为啥自营手机是预激活手机
u***b,今天才发现，买了个库存机！ 24年10月生产的…3月份买的
竹***闲,刚买完不到十天就降价，还不理赔
油***a,开完框框掉价 真服了
w***3,买了十天，又降价三百，无法价保
从***始,双十一500的卷，现在800，一个月降价这么多，有点难受
娱***c,商品有瑕疵 客服也不解决问题
u***f,发的官网机，发货自动激活的，上了个大当
j***x,手机用了一个月就不能充电了，质量真差
初***0,蓝色的太蓝了，其他方面一如既往的很苹果！
j***1,买回来没多久降价了 被刺
r***子,感觉这个标是后面贴上去的
j***v,不到两个月机子就出问题了
j***t,他家卖拆封机，我买个苹果16还没拆封，手机自己出来了，买返厂机
j***x,未能收到货，未能收到任何信息，我的货呢？
j***7,保护手机不到位，一摔就磕到边框了不好用
m***6,背板夹了一根毛👍严丝合缝
j***a,卖了才2-3天充电线就坏了，产品差，售后流程也麻烦
j***U,苹果16pro一般般，没有14那么好用
文***8,没有塑料外包装，手机盒久，而且有破损
村***H,以旧换新：压价压了快500，真是呵呵了
j***p,有点卡，而且刚买不到10天又降价还不给价保。
j***v,刚买来没一周，手机自动重启
j***2,拍照卡顿，售后检测居然说没毛病退回来使用依旧卡顿
d***斯,屏幕暗黄 还是去官网买吧 不要在京东买这种残次品
j***p,服务态度差，降价快，无售后
j***4,双12前买的，半个月没有就降了300块。
火***嘛,苹果依然这么流氓 强制要设置id 不然不给下载东西
j***o,店员服务差，买东西不开发票，还说国家规定
p***9,买了一个月降了300😂
告***7,运气不好，充电线有问题接触不良
丿***丶,以旧换新：能坑一个是一个
j***l,这是我最后一次相信苹果，最后一次相信京东
j***c,才买了两天，就降价了800，这找谁说理去
e***r,降价神速无法价保。。。
南***d,我踏马服了，刚买完就有国补了
f***8,收货3天就降价了，崩溃！
m***5,刚买就8天就降价400
e***4,买了半个月就降了几百块，也不给补差
沧***魂,买了不到3天降价200元
j***x,寄了一个外部破损的机子
江***4,商家不提示国补提醒服务，服务差。有待加强
8***o,感觉不太好，有条件还是去实体店买吧
萨***丝,运气不好，错过了国补
小***飞,才买一个月不到降价1000，这么掉价的嘛
j***u,经常没信号不知道怎么回事不是网络问题
小***单,界面一直推荐使用白条，导致国补不成功
j***z,二手的，4月买的，2月就激活了
H***y,撕开膜有划痕 客服不给正面回复
9***r,不到一个月降价1000块
h***9,价格公道 质量好 已经在使用了 一周多来评价 正品
d***e,一个月亏500，保价只有一周。损失惨重
慧***6,刚买两天就降价，还不补差价，不太合理
j***y,离谱呀元旦之前买的5179 现在4999？！
z***-,怎么这手机一直死机重启啊
j***z,充电线用了一次就坏了，手机买了一个星期就降价了，
柠***雨,没几天就降价了，客户只是一句抱歉完事儿
j***3,才买两个月就降价1000
u***2,充不进去电，怎么回事，第二天
你***不,短时间内价格持续变动，不保值，建议大家换平台购买吧
j***b,被坑死，手机激活才知道没国补
j***7,资本家嘴脸，价格保护非常差，国家补贴挣痛快了
j***4,6星好评 ，没实力就别补贴 砸自己招牌
吕***1,辣鸡手机，刚过价保就降价。
j***扣,一过7天就降价 好像故意的一样
B***O,国补订单是没有消费者权益么？送到还带强拆激活的？
j***l,刚售出就降价，却不给予补偿，保证客户利益。
I***K,买完就降了一千块😡
j***k,外形外观：自己看吧，挺无奈
u***k,新手机使用一会儿会发烫，屏幕都是烫的
j***9,手机发热 怀疑翻新的 再也不买了京东上
j***1,产品可以，快递员也很好，但是京东在线客服太不专业，服务太差
A***8,妈的买的时候不送两年延长保，下单到手了就送了，草！
徐***1,买了15天降了350元，差价5499，现在5149
j***p,外形外观：买的有一个磕碰，非常不完美的购物
j***u,才买一个多月，看视频直接黑屏
喝***咯,xr换苹果16标准版，毫无体验感
不***i,白条逾期一天扣三十多，，产品也不咋样
揍***蚊,出现红点换新要半个月！？
拾***四,买了就降价，还没法价保。
j***l,笑死所有事情事先不说清楚，事后，责怪消费者，玩的挺花
胡***1,过了7天价保不给退差价，多花了500元，服务质量差
6***8,移动自营店便宜200元，还返话费，卖贵了。
毛***2,京东价格背刺小能手，回收压价小能手。
u***7,配送延迟，在线客服敷衍不作为，体验差
j***o,卡得要死 卡得要死 卡得要死
y***7,千万不要买，才用了2个星期就坏了
静***8,不是未激活的机器，是预激活
b***y,真给小姐买的，她很满意
j***a,买送人的，非得让拆开。
吴***啊,用了一周就亏300元，超过7天不给保价
冒***菇,买了不到一个月就降价830😓
j***6,新买的手机盒子脏了不处理
劳***敌,二十天降价五百，不补差价jd，差不多要歇菜了
一***你,包装盒被磕了一个角，
一***四,刚买6天就降价500，受不了
贵***7,买完发票发票一直不开，催好几遍没用，刚买就降价。
K***2,丐版手机，买了就后悔，这个价格买个国产都可以顶配了
j***6,刚开，很不错 给你马也划两刀
论***白,半个月 5499 降价 5199 瞬间不香了
j***b,有经常黑屏情况 怀疑是官换！
寿***子,买的时候宣传有国补，私信的时候也没告知需要单独领取。国补没用到
花***呀,明明显示是送货上门，结果要我自己去快递站自提
s***6,没办法接受啊，才买不到半个月就降价500
j***P,买回来就有问题，拍的照片要么全黑要么全白的
j***r,刚买半个月突然就降价400这京东没谁了66666
j***2,才用2个月不到就不能开机了，品质真差
j***1,刚买完20天就掉价500元，以后不上京东买东西了
j***m,***，双十二买的，保价7天，第8天降价300！！！
6***1,包装盒全是污渍，没有出库检验就草草包装了
j***v,开机注册卡死不动返回去告诉我没问题
u***n,有点小瑕疵，屏幕里面有灰尘，应该是正品
j***y,刚买完，降价1000元，客服还不处理问题。
j***j,生气 双十一买的 反而买贵了 说过了保价期 也没有售后 浪费两百多块
j***v,充电头 钢化膜 手机套都没
j***1,买完了没几天就降价了，客服和机器人一样
j***c,屏幕分辨率跟实体店有差异，要求退货
u***d,一个月降价五百，背刺的好
a***a,一个星期就降价100了
w***3,没有手机壳，没有充电头，没有贴膜，
s***o,买了不到一个星期 国补降价了 不给补差价 哭哭
j***l,使用了一段时间，不像是正品
0***r,手机膜的没有一个一不注意就刮花了
7***7,商品有瑕疵客服还不给处理它
w***1,信号不好，接不到电话，有时也打不通
u***3,性价比超低，买苹果其实很不划算，买了才后悔
j***9,还可以，好好看的手机。
r***l,说了不送赠品，态度差
八***花,狗京东，领到券了不让用，沙熟你好样的，下次还是官网买
李***涵,卡顿 闪退 断触 声音忽大忽小
u***4,价保时间一过马上降价500，京东还不给处理
j***r,贵了，买了不到半个月降价了
2***0,买完过几天就降了500，人都麻了
j***6,一个月不到出现了掉漆
j***k,10.14号称双十一开始，到手没几天就降500，还不给价保
j***v,根本没有7天保价，申请不了、提交申请就显示商品下架
会***了,无敌了不到一月赔了500快
j***x,信号真的差，其他还好
j***S,玩套路，不支持价保，送货三天才到
轩***灬,三台苹果16 全是预激活的 京东这是怎么了
东***东,灵动岛一直亮黄灯，客服态度不好，不建议购买
掌***破,外形外观：收到手机后看到屏幕上有轻微划痕
j***u,昨天下单今天刚收到货，就有国补活动由于已拆机不能退货。亏了500元不开心
j***d,5999元买了一个月还没到就降价5499元
-***O,买了才2个月不到，重启5次。
j***8,别相信无理由退换，未拆封才能退，还是去官网买有保障
f****,买完一周国补立减500 还不参与保价 无语😓
j***D,刚买就降价500 保价过了一天 没有任何通知降价 投诉也没有用 工商见
j***d,手机返回键有问题不给退
y***0,东西不错，就是物流速度超级慢，第5天才收到货，耽误我时间
j***8,10月份的货，对比13触控不灵敏，打字老难了！
廿***5,屏幕锐化严重影响观看，不适应
j***2,买了没几天就降价，而价保只有7天，刚刚好超过了价保周期，故意的吧
m***u,说的有什么国家补贴 都是假的 根本没有
u***o,刚买到手就降价一百多，还不退差价，坑
j***a,6拍照好可以6 外形外观：能用挺好使的 拍照清楚
j***g,拍照的时候经常出现卡屏的现象
j***4,买了8天降价800，活动卡在你刚好申请不了保价👍👍👍
我***7,新机有点卡，不知道什么问题，不灵敏
伐***哥,刚买没几天就上新活动电池换新服务，距离购买不到一周时间！
j***q,以补贴的名义骗人购买手机，补贴实则领不到
j***s,那么贵买的，到手脏兮兮的，体验感没有很好
j***t,再买来第三天都不可以退货 我朋友买的十几天了都给退 给补差价了
B***0,不值得信任的京东自营店
芯***品,才购买几天 苹果16。会出现闪屏 假货
u***8,手机有瑕疵，京东不售后
u***4,买完就降价，商家各种不管，不要买！！！！！！！！
m***8,电量还有百分之八十，两天自动关机两次了
u***t,未领到国补，说是上门拍照激活，也没送上门
j***i,买完不到5天，就有人能领到-300的券，还有活动送ac。
倪***畏,真行，有瑕疵不让退，
j***4,不怎么样 一买完就降价
j***1,掉电快，屏幕刺眼，建议慎重考虑16
依***狼,掉价太快，保价没有用，
j***3,为什么不能七天退？？？京东口碑在哪里？
M***M,电池跟用了六七年的11一样，只能6个小时
j***w,以旧换新都是套路，吃一堑长一智
j***4,12月10日买的。半个月降价800。请问谁能给我解决一下
小***1,才买几天就降价500，呵呵，支持首发成韭菜
j***l,用了一个月，变砖了，还得返厂
j***j,刚收到货，看京东怎么处理
j***3,服务像狗史，维修后有划痕也不能解决🤢🤢
j***i,颜值确实高，两次莫名其妙关机
涵***哦,数据线瑕疵这么大还不给换哈😄
9***e,用了20几天，降价1000 你说气不气人
n***6,电话号码填错就拿不到东西，我给了钱不给货叫我退款
u***7,刚买一个月，降价五百，京东这是什么操作？
一***生,京东也就这样了  国补就发这种机？
6***l,购物体验差，客服态度差，已读不回，无售后体验
千***1,使用半个月之内出现白线，这就是所谓的苹果
k***f,打王者经常划不动，没贴膜
o***g,谁买谁上当，质量问题不给退
L***杨,手机贼卡 不流畅，购买需谨慎
u***p,出现未知原因自动关机
j***s,双12买的，买了十天降价400，还无法价保，京东真实惠
j***u,视频都发热，后悔买了
J***人,好好好，手机也这么运这么摔是吧？！看看包装都成啥了
j***e,刚买没几天就国补500元，打得一手好信息差👍
j***f,忘记密码，修改需要24小时 牛，🍎真高贵
遥***光,并未本人收件。 误导家长老人。 快递员就决定拆封激活。
j***p,才买了没多长时间 手机莫名其妙开关机 服了！
7***9,跟爱回收合作，以旧换新就是人艰不拆，唯有套路。
孟***才,双十二买的，买完就降价，还说保价7天，已投诉12315
桐***域,服了！到手的手机和商家的条形码对不上号，耽误我好久。
j***1,强制开机，强制拆包装，手机质量一般
a***x,买几天降五百，还不支持保价，难受死我了
仓***战,不到一个月背刺200。果然大数据精准调控。
u***2,才用3天就掉漆了，客服说，用了没法
j***v,才买了多久 玩着玩着就关机已经三次了
j***a,电池不行。发烫，价位浮动太大
j***j,相机卡的厉害。更新系统相机还是卡
j***g,说明15天保价，保价的时候又说保价不了
H***1,手机质量有问题，刚激活，手机就发烫
j***8,这机器不能买，都是有问题的手机
j***l,说好的价保到双十一，现在不让价保了
j***h,手机一打开相机就黑屏 卡顿在那
空***空,居然没充电器，还是它马滴PG'我呸...
k***n,怀疑买到水货机，信号不好，相机卡壳
山***z,包装气囊只有2个是充气的，其他都是干瘪的
福***了,外形外观：一收到快递外壳这么破。
小***侠,有问题，7天内不能退货
j***y,不要买，会断触，莫名的卡
j***7,品控差，没用的车轱辘话来回说，不解决问题
j***2,第二天就降价！还不退差价！优惠券都一样，凭啥不退差价？
向***訸,不好用 手机卡顿，一点都不丝滑
王***糖,买了20天不到直接降500。这买东西心🉐强大
D***1,京东买贵了将近400，当面激活了也退不了，服了
j***h,用10分钟就烫得不行
j***p,宣传页面的价钱与实际成交不符，虚假引导
j***6,什么都不送就一条线，线下店里还送手机壳，这什么都没有
j***X,这价格比跳楼还快……
3***1,才下单居然双十一要减500，能补差价吗
j***s,付款的时候不知道系统啥原因，没用上国补，后面还补不了。🤯🤯🤯
5***2,有点卡，而且容易滑落，性价比不高
j***d,真的好卡，是女生所以不会看是不是一手机😂
j***z,用了没有两个月，自动关机了六七次了
j***r,手感还可以，但是玩久了电耗的好快
雪***发,明明买的时候还显示AC，过期了突然说没有
在***走,京东服务已经烂到骨子里了。
花***_,建议还是在线下购买，手机购入4天，出现屏幕问题
q***g,手机反应有点慢，掉电快，总体体验一般
r***a,收到货后屏幕有刮花，激活后发现，过了24小时，还不让换货
j***k,别买！价保形同虚设，一买就降价好几百，不给退差价！
j***z,信号一如既往的差 屏幕有断触
只***黄,2B京东，只会扯皮，迟早干黄，
靠***0,买了不到20天就降价，没有任何补偿，平台真硬
O***晨,刚下单第二天下班收到了，然后第三天出台了国补政策，联系了客服，不能补
A***荷,发热发烫不知道是不是苹果的专利
D***g,手机上方缝隙很大，特别是左上角
j***果,买来刚开始用死机多次。
j***i,买完就降价了，手机耗电快屏幕后面和塑料一样没有质感
j***r,今天才发现前置摄像头有问题，过了15天换新不知道咋搞
r***t,总体来说就是价格方面太贵了，没有性价比，不推荐大家购买，平替超市也差不多可以，没必要多花钱
u***w,为什么发来得盒子这么脏？什么样的环境发货能这么脏，不检查发货的吗
j***o,没有想象中的好.电池不耐电
阿***芷,不要在京东买手机，会变的不幸，不能退货！
j***t,刚买就来500国补气人哦
p***8,屏幕泛黄，死不认帐，不予退换货。
花***咯,京东自营商品切勿使用同城配送，送来的机器都是外包装破损的
6***n,电池健康一直转圈，不显示
j***v,收到7天降价200，还不能申请价保。建议去苹果旗舰店买吧，至少人家还能退
j***d,电池消耗异常 4个小时就要充电 有问题
苍***吗,买了半个月就掉价……
j***u,质量不行，值得考虑，劣质品
0***3,屏幕有明显的划痕，说是登录了就不能退了
i***r,现在苹果的做工这么差了吗，难以接受
t***子,yo 以旧换新：补贴没有
x***2,后盖的裂缝都可以插纸了
T***9,照相机容易黑屏不知道啥原因，重启才能恢复
k***b,断触断触断触 千万别买了兄弟们 断触。。。。。
j***c,到现在莫名其妙自动重启2次了
旺***8,保修日期可以更改🙂‍↔️服了
j***y,再见了京东，很糟糕的购物体验
j***7,包装合有污渍，怀疑是不是退货机子，包装合子没有胶纸封。
j***2,没有领取到国补，也没有详细的提示
p***f,多花99买的双11保价 结果降价不保 京东你就活该倒闭
o***1,千万不要在京东买手机。全是翻新机。
林***y,刚买完两天，国补降价500
d***l,买了一个月无缘无故关机三次。
j***f,刚买没多久就国补五百 给我妈买的经常卡 按键没反应....
小***l,卸载了，以后不会用京东了。
瓜***儿,国补派送员不会操作（管理有问题），需要到京东配发点自己取，
Q***u,你看这什么包装，怎么说也是手机，这样破损
蜗***8,京东违反法律法规，正在起诉中。要买的小朋友们要小心哦！
j***2,收到手机，第二天贴膜，发现有划痕
哒***啦,"买了就降价2000,跳水王。"
j***z,我怀疑是翻新机，拍照的时候会卡而且经常闪屏
蛋***的,我这个屏幕不顺滑总体来说有些不满意
j***f,使用十天 老是花屏 可能是翻新机
j***x,发来一个瑕疵机器，硬是不换新机，怀疑货源
j***q,买回来开箱就有一个瑕疵，苹果开机了还不能换
s***o,电池一点都不耐用，甚至比不上用了五年的华为。拍照有点糊
j***b,送过来的刚打开快递包装就发现手机外包装是被磕碰过的，还要等七天
u***b,体验差，经常卡机，发个视频都要运行半天才有动静
j***4,续航能力差，就是不退还骂我我接受不了
u***c,外形外观：有瑕疵，残次品
z***U,包装盒有破损，上面还有黑不溜秋的污渍，
l***6,无法关机，无法操作，无法使用！
7***h,16质量不行，音量键有问题。
l***8,第一次拍照时，相机卡死了，重新退出后再拍，第二次才好哎
j***g,拿到快递，快递盒子都变形，真的不害怕手机压坏！
1***人,过了保价期就降价200多，背刺用户有一手
j***o,刚过价保7天后一天就发现降价了，问客服也只是会说带来是一次不好的体检，说抱歉
j***z,手机总是自动黑屏重启，未解决
j***5,待机时间短，电量不足
j***6,后悔中，入手两天，出现三次屏幕紫色闪屏
j***d,卡机，手机质量有问题，拍照卡到不动，唉，后悔了
沐***3,打游戏的时候突然黑屏关机是什么情况😳
j***y,这个手机是假货妈的不好使用感不行还卡
j***L,新机贴过镜头膜，无售后愿意处理不承担
4***2,根本打不开，建议你们不要上当了
j***o,买了10天就降了快1000。很好
美***店,打开包装，手机上有灰尘，客服说人工打包时会有灰尘，能信？
j***l,用了还不到一个月就出现黑屏关机的情况
j***v,续航能力不行、掉电特别快，几分钟掉一格电
耶***噶,都是官网退下来的的，手机组装的都是最次的
j***o,不好，很脏，退货了！
j***a,一个月没到自己无症状关机重启俩次
不***枪,第一次感觉京东的敷衍、买了后就降价国家补贴、一问都不处理、
m***m,断触，信号差，经常突然没声音
猪***1,不好的购物体验，以旧换新，测好的价格，现场又让加价222
l***h,半个月不够降200元🤬🤬
j***y,买了两个月不到，无缘无故黑屏三四次了🙄🙄
H***X,不要在京东买东西，不可七天无理退的，谨慎！
z***9,东西好，就是不能开专票差评
i***二,会无缘无故死机，一个多月已经好几次了
j***e,假的 买回来用1天就花屏 面容解锁也老是解不开
2***f,双12买的是5499，现在买5200，才几天啊！谁的钱都不是大风刮来的
j***5,充电器不是原装 是第三方，购买的时候并没有说明
H***n,拆箱后，发现外观有磨损，右侧扬声器上方
j***4,客服退货 有点刁难人，不愉快的一次体验
我***伦,换了第二次还是瑕疵，实在是不想在换了
嗨***底,他妈的才买几天掉价200……
j***6,就差一天不能保价，直接降价500块，只能说小心背刺
j***1,保价形同虚设，只能保自营单独一个专属链接，自营的链接还不行，多花200块
j***o,电池耗得快，晚上睡觉不用，早上起来掉了20%上下
p***6,刚开始用就发现在关机充电之后不能正常开机了，要求退货
就***肉,电话一点不好！收到当天做活动降价400！不给退差价也不提示，！
j***h,一拿到没仔细看第二天就有划痕了
